Checking and applying pending database migrations...

[4mSequelize CLI [Node: 22.18.0, CLI: 6.6.2, ORM: 6.37.8][24m

Loaded configuration file "src\config\sequelize-cli.js".
Using environment "development".
No migrations were executed, database schema was already up to date.
Database migrations are up to date
Database connection established
Toilet QR bootstrap completed: total=10 generated=0 skipped=10 failed=0
Server is running on port 5000
[f9891ea8-398f-4cef-adc9-69a47c93db8c] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1088ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[4d9a6da6-de36-4c4e-8c91-921c472a69d8] GET /api/v1/dashboard/trends -> 200 1482ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[486442fe-2fdf-409b-8f97-e6b694f53ded] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[4dd71583-9b3a-43de-98bd-f38d8beacc1d] OPTIONS /api/v1/dashboard/trends -> 204 1ms tenant=platform user=anonymous
[25f7b752-c388-45bb-848a-e9cf1ea5a1bf] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[78013a95-6911-44fb-92df-d3c9fed4c9c0] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[6b01253c-a60f-4e76-9abb-2db6b9bb8d37] GET /api/v1/inspections?page=1&limit=8 -> 200 1561ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[e16b22c5-d92e-442f-85a4-6c9bf4e7c438] GET /api/v1/dashboard/overview -> 200 1582ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[81620bfa-4a4e-4706-87b5-1e534686bc30] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1790ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[f77392bb-88e3-482c-a86b-e65443c8e872] GET /api/v1/dashboard/trends -> 200 1948ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[e3cab8a2-fdb6-4521-8b97-4a4aa1a6d609] OPTIONS /api/v1/dashboard/overview -> 204 1ms tenant=platform user=anonymous
[208e7a3e-958d-4701-9f96-c5f07122b1df] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[5c1a318d-a877-4a38-ad48-04d4b7d5ed37] OPTIONS /api/v1/dashboard/trends -> 204 1ms tenant=platform user=anonymous
[95255ffa-846f-4873-80db-d92ca1a9dbb4] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
